,event_name,index,run,epevent,position600,ring_type,position,onset,onset0
30,ring,30.0,1.0,reward426,426.0,rew,0.065,58.42406158999984,49.5
31,prep,31.0,1.0,reward426,426.0,rew,0.065,59.92406158999984,51.0
32,dot,32.0,1.0,reward426,426.0,rew,0.065,61.42406158999984,52.5
33,iti,33.0,1.0,fix,,,,62.92406158999984,54.0
34,ring,34.0,1.0,neutral108,108.0,neu,-0.73,64.42406158999984,55.5
35,prep,35.0,1.0,neutral108,108.0,neu,-0.73,65.92406158999984,57.0
36,dot,36.0,1.0,neutral108,108.0,neu,-0.73,67.42406158999984,58.5
37,iti,37.0,1.0,fix,,,,68.92406158999984,60.0
38,iti,38.0,1.0,fix,,,,70.42406158999984,61.5
39,iti,39.0,1.0,fix,,,,71.92406158999984,63.0
40,iti,40.0,1.0,fix,,,,73.42406158999984,64.5
41,ring,41.0,1.0,reward633,633.0,rew,0.5825,74.92406158999984,66.0
42,prep,42.0,1.0,reward633,633.0,rew,0.5825,76.42406158999984,67.5
43,dot,43.0,1.0,reward633,633.0,rew,0.5825,77.92406158999984,69.0
44,iti,44.0,1.0,fix,,,,79.42406158999984,70.5
45,iti,45.0,1.0,fix,,,,80.92406158999984,72.0
46,iti,46.0,1.0,fix,,,,82.42406158999984,73.5
47,iti,47.0,1.0,fix,,,,83.92406158999984,75.0
48,ring,48.0,1.0,neutral633,633.0,neu,0.5825,85.42406158999984,76.5
49,prep,49.0,1.0,neutral633,633.0,neu,0.5825,86.92406158999984,78.0
50,dot,50.0,1.0,neutral633,633.0,neu,0.5825,88.42406158999984,79.5
51,iti,51.0,1.0,fix,,,,89.92406158999984,81.0
52,ring,52.0,1.0,neutral007,7.0,neu,-0.9825,91.42406158999984,82.5
53,prep,53.0,1.0,neutral007,7.0,neu,-0.9825,92.92406158999984,84.0
54,dot,54.0,1.0,neutral007,7.0,neu,-0.9825,94.42406158999984,85.5
